Comb,N=1,N=2,N=4,N=16,N=32
(1 1),0.454271,0.456716,0.455635,0.454995,0.453684
(1 2),0.352791,0.353622,0.353996,0.354967,0.356814
(1 4),0.308168,0.306607,0.304477,0.305738,0.315824
(1 8),0.318399,0.298358,0.297714,0.304076,0.309428
(2 1),0.700958,0.705084,0.704323,0.702964,0.709031
(4 1),1.219286,1.209963,1.207045,1.202969,1.217155
(8 1),2.285060,2.284477,2.245842,2.293869,2.316524
