Comb,N=1,N=2,N=4,N=16,N=32
(1 1),0.155685,0.148808,0.148467,0.157067,0.153607
(1 2),0.125281,0.117382,0.121556,0.121781,0.136493
(1 4),0.322522,0.461497,0.428190,0.473838,0.367603
(1 8),0.362975,0.637161,0.745161,0.548800,0.572292
(2 1),0.233053,0.232895,0.238478,0.231481,0.236643
(4 1),1.794865,1.678724,1.642171,1.435910,1.708411
(8 1),4.676107,5.297594,7.103132,6.487331,6.891399
